#d	single	double
2	21.56	3.05
3	38.71	12.55
4	78.28	37.03
5	156.68	109.29
6	346.27	263.42
7	654.38	707.84
8	1523.65	1671.22
9	2892.23	3728.18
10	5378.82	7885.34
11	7976.03	14018.24
12	11052.85	22081.1
13	15407.57	34308.52
14	14647.44	45436.42
15	13571.02	55808.69
16	10673.52	59433.34
17	7695.92	62401.94
18	6097.66	63428.8
19	4230.66	64286.26
20	3359.66	64857.97
21	1812.88	65090.39
22	1215.89	65325.16
23	380.98	65463.99
24	329.17	65503.55
25	77.12	65520.21
26	53.27	65531.24
27	37.78	65534.89
28	1	65535
29	2.44	65533.56
30	1	65535
31	1.77	65535
32	1	65535


#d	single	double
2	22.83	3.55
3	42.39	13.18
4	88.43	43.02
5	193.59	133.72
6	355.36	264.98
7	874.84	851.55
8	1536.47	1697.73
9	3469	4240.66
10	7480.34	11659.8
11	11469.97	18605.52
12	18045.98	33608.57
13	24476.35	51295.53
14	30001.95	74788
15	31019.67	100267.73
16	26232.72	113240.36
17	16839.84	122930.51
18	17496.51	125855.36
19	12579.36	127670.81
20	7861.04	128799.51
21	6632.63	129669.57
22	3618.91	130399.39
23	1623.23	130857.92
24	467.54	131013.37
25	530.91	131011.77
26	371.52	131056.69
27	150.27	131043.28
28	52.91	131070.75
29	17.04	131070.95
30	1	131071
31	3.57	131071
32	1	131071


#d	single	double
2	23.79	3.27
3	41.49	11.82
4	86.9	40.7
5	221.94	139.88
6	404.2	302.24
7	897.54	840.64
8	2303.42	2379.49
9	3793.93	4330.72
10	9796.65	13982.61
11	17038.67	29331.4
12	26447.38	47007.41
13	38385.48	77891.89
14	55455.05	130659.02
15	61663.59	166710.98
16	65773.45	205894.45
17	46114.73	236596.73
18	28721.89	246480.92
19	25006.04	250941.52
20	19190.06	256890.63
21	16942.34	258184.43
22	9393.98	260219.77
23	6977.02	261258.66
24	3472.18	261361.75
25	2413.06	261801.1
26	1215.04	262084.38
27	1057.3	261961.2
28	331.59	262125.74
29	71.03	262093
30	43.51	262142.52
31	1	262143
32	1	262143


