n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
1	0	0	0	0	
2	4	3	2	4	
3	4	3	3	6	
4	4	3	3	7	
5	4	3	3	7	
6	4	3	4	7	
7	5	4	5	7	
8	5	5	5	8	
9	5	5	5	8	
10	5	5	5	8	
11	5	5	6	8	
12	6	5	6	9	
13	6	6	6	8	
14	6	6	7	9	
15	6	7	9	9	
16	6	7	7	9	
17	7	7	8	10	
18	7	7	8	10	
19	7	8	8	10	
20	7	8	9	11	
21	7	8	9	12	
22	7	8	10	11	
23	8	9	10	14	
24	8	9	10	12	
25	8	10	11	11	
26	8	10	11	12	
27	8	10	11	12	
28	9	10	12	13	
29	9	10	12	13	
30	9	11	12	14	
31	10	11	13	13	
32	10	12	14	14	
33	10	12	14	15	
34	10	12	14	14	
35	10	12	14	16	
36	11	13	16	15	
37	11	14	15	16	
38	11	14	16	16	
39	11	14	16	17	
40	69	14	16	17	
41	74	15	17	18	
42	66	15	17	17	
43	68	16	18	19	
44	69	15	18	19	
45	69	16	18	19	
46	74	19	19	19	
47	75	16	19	20	
48	78	17	20	21	
49	75	17	20	21	
50	74	18	21	22	
51	77	18	21	22	
52	72	18	21	22	
53	69	19	22	24	
54	72	19	22	23	
55	69	20	22	24	
56	71	20	26	24	
57	76	20	23	25	
58	73	20	24	25	
59	79	22	24	26	
60	72	21	24	26	
61	70	22	25	27	
62	76	21	26	27	
63	74	22	26	28	
64	75	23	26	29	
65	76	25	27	29	
66	73	23	27	30	
67	80	24	27	30	
68	77	24	27	31	
69	76	25	28	31	
70	77	25	28	32	
71	75	25	29	33	
72	79	26	30	33	
73	75	26	29	33	
74	80	26	30	35	
75	79	27	30	35	
76	78	27	33	36	
77	79	29	32	36	
78	77	28	31	37	
79	76	28	32	39	
80	87	29	33	39	
81	78	29	33	39	
82	89	30	34	43	
83	90	30	34	41	
84	73	30	34	42	
85	88	31	35	42	
86	82	31	35	42	
87	81	31	38	43	
88	87	31	36	44	
89	84	32	36	46	
90	88	32	38	46	
91	82	33	37	47	
92	82	33	38	47	
93	90	34	37	47	
94	83	34	37	48	
95	86	34	40	49	
96	82	35	39	50	
97	84	35	39	55	
98	82	36	42	52	
99	91	36	41	55	
100	92	37	42	53	
101	82	37	41	55	
102	94	38	42	57	
103	88	39	42	56	
104	84	37	43	57	
105	91	41	44	61	
106	87	39	44	58	
107	89	39	45	61	
108	86	40	44	62	
109	87	40	44	61	
110	89	41	45	62	
111	95	40	46	65	
112	87	41	45	64	
113	96	44	48	65	
114	90	42	47	66	
115	90	42	49	69	
116	95	45	48	69	
117	95	43	48	71	
118	94	43	48	69	
119	88	44	50	70	
120	91	45	49	71	
121	97	45	49	73	
122	91	45	50	73	
123	99	50	50	75	
124	94	46	51	77	
125	89	48	57	79	
126	92	47	52	80	
127	92	47	53	78	
128	97	48	55	81	
129	89	48	53	81	
130	94	48	56	83	
131	91	52	54	82	
132	92	49	55	84	
133	100	51	60	88	
134	101	50	57	86	
135	98	52	60	95	
136	95	51	56	88	
137	94	53	57	90	
138	106	52	57	92	
139	99	52	58	91	
140	97	52	59	96	
141	108	53	58	94	
142	95	53	58	94	
143	98	57	61	101	
144	97	55	60	98	
145	99	57	60	98	
146	106	57	60	104	
147	100	61	61	100	
148	103	56	62	103	
149	111	57	63	103	
150	117	58	63	111	
151	116	57	64	108	
152	100	58	64	107	
153	99	58	70	108	
154	99	61	65	110	
155	101	58	65	117	
156	105	59	66	111	
157	100	60	70	112	
158	101	60	67	116	
159	102	62	66	115	
160	104	61	67	117	
161	105	62	68	122	
162	103	61	67	120	
163	101	61	67	127	
164	109	63	69	125	
165	106	62	69	125	
166	110	64	70	129	
167	109	64	70	127	
168	109	65	73	135	
169	104	65	71	129	
170	108	65	72	130	
171	104	66	73	133	
172	104	66	72	138	
173	107	67	73	139	
174	109	66	74	146	
175	110	67	73	136	
176	104	71	77	140	
177	98	72	74	139	
178	106	69	74	143	
179	117	72	76	144	
180	109	69	77	143	
181	107	70	86	152	
182	108	70	77	153	
183	106	70	77	150	
184	112	71	78	149	
185	111	74	78	151	
186	109	74	81	152	
187	112	71	78	154	
188	113	72	79	163	
189	108	74	80	156	
190	110	75	81	158	
191	111	82	87	160	
192	116	75	82	160	
193	109	74	81	163	
194	121	76	82	165	
195	110	76	82	165	
196	111	76	84	176	
197	117	77	84	176	
198	117	78	85	173	
199	116	80	87	185	
200	112	78	85	173	
201	106	78	87	183	
202	121	79	85	177	
203	114	80	87	177	
204	125	82	87	180	
205	119	80	88	180	
206	112	81	88	183	
207	120	81	87	187	
208	116	82	88	186	
209	127	81	88	192	
210	114	83	92	191	
211	124	82	95	197	
212	117	84	90	192	
213	118	84	92	194	
214	127	86	91	204	
215	117	88	91	198	
216	123	89	96	208	
217	127	84	92	200	
218	113	86	93	213	
219	129	86	96	204	
220	119	86	97	207	
221	119	90	98	215	
222	125	88	95	210	
223	120	87	95	214	
224	121	89	99	212	
225	119	88	98	212	
226	119	91	98	224	
227	123	89	97	217	
228	123	90	97	218	
229	124	93	97	231	
230	121	91	99	224	
231	122	91	103	226	
232	124	98	101	228	
233	127	93	101	233	
234	142	94	102	236	
235	128	93	101	231	
236	132	98	105	234	
237	133	93	101	235	
238	124	95	102	243	
239	132	96	103	237	
240	128	95	105	239	
241	123	100	104	247	
