# Top side of figure (sorted -O3 data)
n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
1	0	0	0	0	
2	0	0	0	1	
4	1	0	1	1	
8	1	2	1	1	
16	2	3	2	1	
32	3	5	4	1	
64	7	9	7	2	
128	15	17	15	3	
256	32	33	30	5	
512	68	64	64	11	
1024	148	127	137	20	
2048	326	252	301	41	
4096	708	505	651	80	
8192	1400	1000	1300	162	
16384	3000	2000	2800	322	


# Bottom side of figure (nearly sorted, 20 out of order)
n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
1	0	0	0	1	
2	0	0	0	2	
4	0	1	1	4	
8	1	2	3	6	
16	3	4	5	7	
32	5	8	9	11	
64	11	17	15	17	
128	23	31	24	31	
256	47	60	40	61	
512	94	110	72	114	
1024	197	210	146	235	
2048	416	405	297	464	
4096	880	791	634	1000	
8192	1900	1600	1300	1900	
16384	3900	3100	2800	3600	
