n	ValueBased/Qsort_straight	ValueBased/Qsort_2_6_6	ValueBased/Qsort_2_6_11	ValueBased/Insertion
1	1	0	0	1	
2	4	2	2	4	
3	4	3	3	6	
4	4	3	3	6	
5	4	3	3	7	
6	5	3	4	7	
7	5	4	4	7	
8	5	4	5	8	
9	5	5	5	8	
10	5	5	5	8	
11	5	5	6	8	
12	6	5	6	8	
13	6	6	6	9	
14	6	6	7	9	
15	6	6	7	9	
16	6	7	7	9	
17	6	7	8	10	
18	7	7	8	10	
19	7	7	8	10	
20	7	8	9	10	
21	7	8	9	11	
22	8	8	10	11	
23	8	8	10	11	
24	8	9	10	11	
25	8	9	10	12	
26	9	9	11	12	
27	9	10	11	12	
28	9	10	12	13	
29	9	10	12	13	
30	9	11	12	14	
31	9	11	13	13	
32	10	11	13	14	
33	10	12	14	14	
34	10	12	14	14	
35	10	12	14	15	
36	11	13	15	15	
37	11	13	15	15	
38	11	13	15	16	
39	11	13	16	16	
40	68	14	16	17	
41	68	14	17	17	
42	70	15	17	18	
43	69	16	17	18	
44	69	15	18	18	
45	70	16	18	19	
46	70	16	19	19	
47	70	16	19	20	
48	78	17	19	20	
49	71	17	20	21	
50	73	18	20	21	
51	71	18	21	22	
52	73	18	21	22	
53	73	19	21	22	
54	72	19	21	23	
55	71	19	22	23	
56	74	19	22	24	
57	73	20	23	25	
58	73	20	24	25	
59	74	21	24	25	
60	73	21	24	26	
61	74	22	25	27	
62	75	21	25	27	
63	74	22	25	28	
64	74	22	26	28	
65	74	22	26	29	
66	73	23	26	29	
67	75	23	26	30	
68	78	24	27	31	
69	76	25	28	31	
70	75	25	28	32	
71	76	25	29	33	
72	76	25	30	33	
73	77	26	29	33	
74	77	26	29	34	
75	77	26	30	35	
76	77	27	31	35	
77	79	27	30	36	
78	80	27	31	37	
79	80	28	32	38	
80	80	29	32	38	
81	80	29	33	39	
82	79	29	33	40	
83	81	30	33	40	
84	81	30	34	41	
85	81	30	35	42	
86	82	31	35	42	
87	81	31	35	43	
88	80	31	36	44	
89	81	32	36	44	
90	82	32	36	45	
91	83	33	37	46	
92	82	33	37	47	
93	83	34	37	48	
94	84	34	38	49	
95	83	34	39	50	
96	83	35	39	50	
97	82	35	39	51	
98	83	35	40	52	
99	84	35	40	53	
100	84	36	41	53	
101	85	38	41	54	
102	85	37	41	55	
