# N,Add*-g,Add*-java,Add*-O3,Last*-g,Last*-java,Last*-O3,
256	33	19	10	31	20	11	
512	67	22	20	58	32	23	
1024	136	49	40	126	65	46	
2048	271	98	80	241	131	95	
4096	555	196	160	489	264	195	
8192	1107	392	321	972	527	387	
16384	2240	781	647	1972	1052	805	
32768	4604	1554	1281	4102	2095	1721	
65536	9447	3131	2572	8441	4200	3610	
131072	19016	6277	5148	17059	8401	7322	
262144	38269	12576	10336	34396	16811	14782	
524288	77147	26632	21547	69699	35054	30367	
1048576	156050	51077	53916	141524	61856	66006	
