size	AveSQQ	MaxSQQ	AveFQQ	MaxFQQ	AveSQL	MaxSQL	AveFQL	MaxFQL
224234	3.440	185	22.268	244	11.360	2778	230.752	2908
246657	2.489	63	8.139	80	4.178	457	28.237	602
271322	2.091	41	5.200	53	2.822	131	11.325	190
298454	1.858	38	3.869	41	2.249	126	6.675	151
328299	1.694	24	3.135	36	1.927	77	4.557	91
361128	1.578	21	2.657	26	1.721	48	3.496	59
397240	1.490	22	2.330	22	1.580	52	2.826	59
436964	1.417	17	2.093	19	1.475	35	2.413	41
480660	1.355	15	1.909	18	1.393	36	2.114	37
528726	1.308	14	1.768	14	1.340	18	1.907	25
581598	1.270	12	1.651	19	1.292	23	1.754	22
639757	1.236	10	1.560	13	1.250	14	1.631	18
