n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.27	0.29	0.30	1.00	0.14	
1024	0.39	0.32	0.40	3.38	0.24	
2048	0.78	0.86	0.78	14.40	0.55	


n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.18	0.23	0.28	0.20	0.08	
1024	0.42	0.39	0.38	0.28	0.23	
2048	0.83	0.82	0.80	0.50	0.50	
4096	1.66	1.70	1.60	0.95	1.17	
8192	3.64	3.84	3.41	1.88	2.55	
16384	7.58	8.04	7.23	3.49	5.62	
32768	16.79	17.11	15.88	7.37	12.55	
65536	37.78	39.20	39.93	19.42	29.10	
131072	97.73	98.21	126.49	57.85	75.73	


n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.09	0.13	0.05	0.16	0.12	
1024	0.36	0.30	0.26	0.16	0.20	
2048	0.60	0.72	0.47	0.28	0.48	
4096	1.40	1.52	1.03	0.68	1.01	
8192	2.94	3.04	2.15	1.16	2.24	
16384	6.40	6.71	4.74	2.44	4.96	
32768	13.46	13.87	10.32	4.95	10.71	
65536	29.12	29.88	23.11	10.50	23.37	
131072	64.97	66.46	49.61	23.48	53.58	
