n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.28	0.35	0.33	1.01	0.13	
1024	0.31	0.38	0.41	3.30	0.12	
2048	0.73	0.81	0.69	13.54	0.60	


n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.14	0.13	0.33	0.23	0.11	
1024	0.37	0.42	0.45	0.20	0.21	
2048	0.83	0.86	0.73	0.57	0.52	
4096	1.62	1.74	1.60	0.86	1.05	
8192	3.58	3.63	3.30	1.80	2.48	
16384	7.50	7.95	7.09	3.47	5.56	
32768	16.35	17.03	15.43	7.12	12.36	
65536	36.46	37.77	35.37	16.92	28.33	
131072	86.23	90.36	115.32	51.97	68.06	


n	Andrew	Heap	Bal.	Bucket	SortingOnly
512	0.13	0.16	0.14	0.05	0.05	
1024	0.36	0.31	0.31	0.16	0.22	
2048	0.72	0.69	0.51	0.29	0.46	
4096	1.29	1.42	1.05	0.65	1.04	
8192	2.90	3.03	2.32	1.12	2.19	
16384	6.23	6.76	4.74	2.28	4.90	
32768	13.29	13.81	10.12	4.79	10.69	
65536	28.59	29.47	22.29	10.04	22.91	
131072	61.97	64.45	48.53	22.01	50.94	
